,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Duke 1,ACC,31-6,+32.33,120.8,88.5,67.7,-.028,+12.59,109.5,96.9,+2.42
1,2,Connecticut 2,BE,33-6,+28.30,117.8,89.5,68.2,+.012,+8.93,107.7,98.8,-2.05
2,3,Saint Joseph's 1,A10,30-2,+27.66,118.9,91.2,66.1,+.060,+6.99,107.1,100.1,+8.86
3,4,Oklahoma St. 2,B12,31-4,+27.37,118.5,91.1,64.8,+.029,+7.56,107.7,100.1,-5.55
4,5,Pittsburgh 3,BE,31-5,+25.91,114.1,88.2,59.7,-.028,+5.97,106.4,100.5,-8.20
5,6,Wisconsin 6,B10,25-7,+25.74,116.0,90.3,60.7,-.001,+8.34,108.0,99.7,+3.63
6,7,Gonzaga 2,WCC,28-3,+25.34,120.8,95.5,66.6,+.013,+3.28,105.5,102.2,+7.00
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,88.8,69.1,+.008,+13.74,110.8,97.1,+0.97
8,9,North Carolina St. 3,ACC,21-10,+23.98,119.1,95.1,62.1,-.072,+12.81,109.5,96.7,-0.59
9,10,Kentucky 1,SEC,27-5,+23.35,113.5,90.1,66.1,+.031,+8.97,108.3,99.3,+3.47
10,11,North Carolina 6,ACC,19-11,+23.23,117.4,94.1,70.9,-.091,+13.85,110.2,96.4,+2.76
11,12,Stanford 1,P10,30-2,+22.52,111.9,89.3,64.5,+.051,+3.76,105.9,102.2,-1.79
12,13,Illinois 5,B10,26-7,+22.11,117.8,95.7,63.5,+.055,+8.13,107.7,99.5,+2.52
13,14,Mississippi St. 2,SEC,26-4,+21.74,114.7,92.9,68.1,+.021,+6.38,106.3,99.9,-1.89
14,15,Wake Forest 4,ACC,21-10,+21.69,121.6,99.9,70.4,-.019,+13.52,109.6,96.1,+1.79
15,16,Cincinnati 4,CUSA,25-7,+21.56,116.1,94.5,66.7,+.003,+5.62,105.6,100.0,-0.28
16,17,Texas 3,B12,25-8,+21.54,115.6,94.1,64.7,+.038,+9.27,109.1,99.8,+0.80
17,18,Kansas 4,B12,24-9,+20.89,112.3,91.4,69.4,+.017,+10.39,109.2,98.8,+6.53
18,19,Louisville 10,CUSA,20-10,+20.44,107.1,86.6,67.4,-.079,+7.09,107.0,99.9,+4.23
19,20,Nevada 10,WAC,25-9,+20.27,112.3,92.0,68.7,-.039,+7.09,107.6,100.5,+4.97
