,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,North Carolina 1,ACC,33-4,+32.77,122.5,89.7,73.1,+.011,+11.64,108.7,97.1,+4.26
1,2,Illinois 1,B10,37-2,+32.68,122.3,89.6,64.1,-.007,+8.16,107.3,99.1,+0.31
2,3,Duke 1,ACC,27-6,+27.41,115.7,88.3,68.3,-.002,+10.89,109.5,98.6,+1.51
3,4,Louisville 4,CUSA,33-5,+25.78,118.8,93.0,66.3,+.045,+6.42,106.1,99.7,-2.03
4,5,Michigan St. 5,B10,26-7,+25.67,119.7,94.0,66.4,-.013,+7.89,107.0,99.1,-3.18
5,6,Oklahoma St. 2,B12,26-7,+25.02,121.2,96.2,66.2,-.015,+9.59,108.0,98.4,+5.03
6,7,Villanova 5,BE,24-8,+25.02,114.7,89.7,67.0,-.054,+9.16,107.9,98.7,-0.89
7,8,Wake Forest 2,ACC,27-6,+24.86,124.3,99.5,68.9,+.046,+10.94,108.4,97.5,+4.87
8,9,Kentucky 2,SEC,28-6,+24.10,113.0,88.9,66.6,+.032,+8.85,107.9,99.1,-2.71
9,10,Florida 4,SEC,24-8,+23.93,116.4,92.5,65.2,-.027,+7.13,106.6,99.5,-4.30
10,11,Kansas 3,B12,23-7,+23.08,115.6,92.5,66.5,+.008,+10.45,108.1,97.7,+10.37
11,12,Oklahoma 3,B12,25-8,+22.55,114.4,91.8,65.4,-.006,+7.68,107.5,99.8,+0.09
12,13,Arizona 3,P10,30-7,+22.22,116.7,94.5,68.6,+.027,+8.12,107.8,99.7,+3.33
13,14,Washington 1,P10,29-6,+22.18,120.6,98.4,71.9,+.060,+8.61,107.5,98.9,+6.73
14,15,Connecticut 2,BE,23-8,+21.94,112.1,90.2,70.6,-.031,+8.52,108.5,100.0,-1.04
15,16,Syracuse 4,BE,27-7,+20.98,115.6,94.7,65.8,+.002,+6.29,106.8,100.5,-4.57
16,17,Wisconsin 6,B10,25-9,+20.81,112.0,91.2,62.8,+.042,+10.24,108.5,98.3,+1.27
17,18,Alabama 5,SEC,24-8,+20.51,118.8,98.3,62.8,+.033,+6.84,106.5,99.6,-1.28
18,19,Cincinnati 7,CUSA,25-8,+20.43,112.5,92.0,68.0,-.006,+5.48,106.1,100.6,+0.62
19,20,Utah 6,MWC,29-6,+20.33,113.1,92.7,59.1,+.032,+3.60,105.9,102.3,-4.04
20,21,Utah St. 14,BW,24-8,+19.62,116.0,96.4,61.1,-.094,-2.48,101.3,103.8,-4.48
